,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city_name,day,distance
0,9.56,90,1009,overcast clouds,1714694400,1.25,114,Kanfanar,2024-05-03 02:00:00,17
1,9.56,88,1009,overcast clouds,1714698000,1.17,147,Kanfanar,2024-05-03 03:00:00,17
2,8.56,87,1009,overcast clouds,1714701600,1.01,169,Kanfanar,2024-05-03 04:00:00,17
3,8.56,88,1009,overcast clouds,1714705200,1.0,174,Kanfanar,2024-05-03 05:00:00,17
4,7.56,89,1010,overcast clouds,1714708800,1.03,202,Kanfanar,2024-05-03 06:00:00,17
5,9.56,89,1010,overcast clouds,1714712400,1.37,233,Kanfanar,2024-05-03 07:00:00,17
6,12.56,86,1010,overcast clouds,1714716000,1.91,240,Kanfanar,2024-05-03 08:00:00,17
7,12.56,82,1010,overcast clouds,1714719600,2.45,244,Kanfanar,2024-05-03 09:00:00,17
8,14.56,77,1010,overcast clouds,1714723200,2.71,248,Kanfanar,2024-05-03 10:00:00,17
9,13.56,74,1011,overcast clouds,1714726800,2.83,249,Kanfanar,2024-05-03 11:00:00,17
10,14.56,74,1011,overcast clouds,1714730400,2.95,249,Kanfanar,2024-05-03 12:00:00,17
11,14.56,77,1011,overcast clouds,1714734000,2.43,270,Kanfanar,2024-05-03 13:00:00,17
12,14.56,79,1011,overcast clouds,1714737600,2.09,276,Kanfanar,2024-05-03 14:00:00,17
13,14.56,77,1011,overcast clouds,1714741200,1.81,299,Kanfanar,2024-05-03 15:00:00,17
14,13.56,77,1011,overcast clouds,1714744800,2.12,326,Kanfanar,2024-05-03 16:00:00,17
15,13.56,79,1012,overcast clouds,1714748400,2.64,344,Kanfanar,2024-05-03 17:00:00,17
16,13.56,81,1012,light rain,1714752000,3.0,356,Kanfanar,2024-05-03 18:00:00,17
17,13.56,84,1012,light rain,1714755600,2.46,8,Kanfanar,2024-05-03 19:00:00,17
18,12.56,88,1012,light rain,1714759200,1.97,25,Kanfanar,2024-05-03 20:00:00,17
19,10.56,91,1013,overcast clouds,1714762800,1.74,40,Kanfanar,2024-05-03 21:00:00,17
20,10.56,91,1013,overcast clouds,1714766400,1.37,22,Kanfanar,2024-05-03 22:00:00,17
21,11.56,91,1013,overcast clouds,1714770000,1.41,355,Kanfanar,2024-05-03 23:00:00,17
22,11.56,90,1013,overcast clouds,1714773600,1.57,349,Kanfanar,2024-05-04 00:00:00,17
23,10.56,91,1013,overcast clouds,1714777200,2.06,334,Kanfanar,2024-05-04 01:00:00,17
24,10.56,94,1013,overcast clouds,1714780800,2.41,343,Kanfanar,2024-05-04 02:00:00,17
25,10.56,95,1013,overcast clouds,1714784400,2.71,349,Kanfanar,2024-05-04 03:00:00,17
26,10.56,95,1013,overcast clouds,1714788000,2.97,348,Kanfanar,2024-05-04 04:00:00,17
27,10.56,94,1014,overcast clouds,1714791600,3.49,347,Kanfanar,2024-05-04 05:00:00,17
28,9.56,94,1014,overcast clouds,1714795200,3.69,354,Kanfanar,2024-05-04 06:00:00,17
29,11.56,92,1014,overcast clouds,1714798800,3.25,9,Kanfanar,2024-05-04 07:00:00,17
30,12.56,89,1014,broken clouds,1714802400,2.48,10,Kanfanar,2024-05-04 08:00:00,17
31,15.56,78,1015,overcast clouds,1714806000,1.92,11,Kanfanar,2024-05-04 09:00:00,17
32,16.56,68,1015,broken clouds,1714809600,1.64,5,Kanfanar,2024-05-04 10:00:00,17
33,16.56,62,1015,scattered clouds,1714813200,1.8,334,Kanfanar,2024-05-04 11:00:00,17
34,17.56,62,1015,scattered clouds,1714816800,1.88,312,Kanfanar,2024-05-04 12:00:00,17
35,15.56,62,1015,scattered clouds,1714820400,1.94,298,Kanfanar,2024-05-04 13:00:00,17
36,16.56,61,1015,few clouds,1714824000,2.0,290,Kanfanar,2024-05-04 14:00:00,17
37,18.56,59,1015,few clouds,1714827600,2.71,287,Kanfanar,2024-05-04 15:00:00,17
38,17.56,59,1014,few clouds,1714831200,3.05,287,Kanfanar,2024-05-04 16:00:00,17
39,16.56,62,1014,few clouds,1714834800,3.28,287,Kanfanar,2024-05-04 17:00:00,17
40,16.56,68,1015,few clouds,1714838400,3.37,292,Kanfanar,2024-05-04 18:00:00,17
41,14.56,77,1015,few clouds,1714842000,2.55,295,Kanfanar,2024-05-04 19:00:00,17
42,13.56,83,1015,clear sky,1714845600,1.99,302,Kanfanar,2024-05-04 20:00:00,17
43,11.56,83,1016,clear sky,1714849200,1.6,330,Kanfanar,2024-05-04 21:00:00,17
44,9.56,81,1016,clear sky,1714852800,1.73,348,Kanfanar,2024-05-04 22:00:00,17
45,9.56,80,1016,clear sky,1714856400,1.77,8,Kanfanar,2024-05-04 23:00:00,17
46,9.56,80,1016,clear sky,1714860000,1.78,18,Kanfanar,2024-05-05 00:00:00,17
47,7.56,80,1016,few clouds,1714863600,1.39,5,Kanfanar,2024-05-05 01:00:00,17
48,8.56,79,1016,overcast clouds,1714867200,1.03,15,Kanfanar,2024-05-05 02:00:00,17
49,9.56,78,1016,overcast clouds,1714870800,0.99,19,Kanfanar,2024-05-05 03:00:00,17
50,6.56,79,1015,broken clouds,1714874400,0.89,37,Kanfanar,2024-05-05 04:00:00,17
51,9.56,79,1015,broken clouds,1714878000,0.68,42,Kanfanar,2024-05-05 05:00:00,17
52,7.56,80,1015,scattered clouds,1714881600,0.86,66,Kanfanar,2024-05-05 06:00:00,17
53,9.56,79,1016,broken clouds,1714885200,0.83,91,Kanfanar,2024-05-05 07:00:00,17
54,14.56,74,1016,scattered clouds,1714888800,0.72,160,Kanfanar,2024-05-05 08:00:00,17
55,16.56,71,1016,scattered clouds,1714892400,1.37,197,Kanfanar,2024-05-05 09:00:00,17
56,18.56,69,1016,scattered clouds,1714896000,2.1,221,Kanfanar,2024-05-05 10:00:00,17
57,17.56,68,1016,scattered clouds,1714899600,2.75,231,Kanfanar,2024-05-05 11:00:00,17
58,18.56,67,1016,scattered clouds,1714903200,3.16,233,Kanfanar,2024-05-05 12:00:00,17
59,18.56,67,1016,scattered clouds,1714906800,3.41,230,Kanfanar,2024-05-05 13:00:00,17
60,19.56,66,1016,few clouds,1714910400,3.56,223,Kanfanar,2024-05-05 14:00:00,17
61,19.56,65,1016,scattered clouds,1714914000,3.65,218,Kanfanar,2024-05-05 15:00:00,17
62,19.56,65,1015,scattered clouds,1714917600,3.44,213,Kanfanar,2024-05-05 16:00:00,17
63,18.56,66,1015,scattered clouds,1714921200,2.91,204,Kanfanar,2024-05-05 17:00:00,17
64,17.56,67,1015,few clouds,1714924800,2.73,184,Kanfanar,2024-05-05 18:00:00,17
65,16.56,76,1015,scattered clouds,1714928400,2.59,162,Kanfanar,2024-05-05 19:00:00,17
66,14.56,86,1015,few clouds,1714932000,2.59,141,Kanfanar,2024-05-05 20:00:00,17
67,11.56,90,1015,few clouds,1714935600,2.49,126,Kanfanar,2024-05-05 21:00:00,17
68,10.56,91,1015,few clouds,1714939200,2.3,116,Kanfanar,2024-05-05 22:00:00,17
69,12.56,91,1015,scattered clouds,1714942800,2.26,110,Kanfanar,2024-05-05 23:00:00,17
70,11.56,91,1015,scattered clouds,1714946400,2.37,104,Kanfanar,2024-05-06 00:00:00,17
71,12.56,92,1015,broken clouds,1714950000,2.55,103,Kanfanar,2024-05-06 01:00:00,17
72,12.56,93,1015,overcast clouds,1714953600,2.61,103,Kanfanar,2024-05-06 02:00:00,17
73,10.56,94,1014,overcast clouds,1714957200,2.74,101,Kanfanar,2024-05-06 03:00:00,17
74,11.56,95,1014,overcast clouds,1714960800,2.76,97,Kanfanar,2024-05-06 04:00:00,17
75,11.56,95,1014,overcast clouds,1714964400,2.89,95,Kanfanar,2024-05-06 05:00:00,17
76,11.56,96,1014,overcast clouds,1714968000,2.91,96,Kanfanar,2024-05-06 06:00:00,17
77,13.56,93,1014,overcast clouds,1714971600,2.75,102,Kanfanar,2024-05-06 07:00:00,17
78,14.56,87,1014,overcast clouds,1714975200,3.02,118,Kanfanar,2024-05-06 08:00:00,17
79,15.56,77,1014,overcast clouds,1714978800,3.28,144,Kanfanar,2024-05-06 09:00:00,17
80,17.56,69,1014,overcast clouds,1714982400,3.16,171,Kanfanar,2024-05-06 10:00:00,17
81,17.56,64,1014,overcast clouds,1714986000,3.49,180,Kanfanar,2024-05-06 11:00:00,17
82,17.56,62,1014,overcast clouds,1714989600,4.18,180,Kanfanar,2024-05-06 12:00:00,17
83,18.56,61,1014,overcast clouds,1714993200,4.6,177,Kanfanar,2024-05-06 13:00:00,17
84,18.56,60,1014,overcast clouds,1714996800,4.48,182,Kanfanar,2024-05-06 14:00:00,17
85,18.56,60,1014,overcast clouds,1715000400,4.41,188,Kanfanar,2024-05-06 15:00:00,17
86,18.56,62,1014,overcast clouds,1715004000,4.07,191,Kanfanar,2024-05-06 16:00:00,17
87,18.56,62,1014,overcast clouds,1715007600,3.51,188,Kanfanar,2024-05-06 17:00:00,17
88,16.56,65,1014,overcast clouds,1715011200,2.97,179,Kanfanar,2024-05-06 18:00:00,17
89,15.56,76,1013,overcast clouds,1715014800,2.67,146,Kanfanar,2024-05-06 19:00:00,17
90,15.56,85,1013,scattered clouds,1715018400,2.88,151,Kanfanar,2024-05-06 20:00:00,17
91,12.56,93,1014,scattered clouds,1715022000,2.54,132,Kanfanar,2024-05-06 21:00:00,17
92,13.56,93,1014,scattered clouds,1715025600,2.24,121,Kanfanar,2024-05-06 22:00:00,17
93,13.56,93,1014,scattered clouds,1715029200,2.28,105,Kanfanar,2024-05-06 23:00:00,17
94,13.56,93,1014,scattered clouds,1715032800,2.25,103,Kanfanar,2024-05-07 00:00:00,17
95,13.56,94,1014,broken clouds,1715036400,2.31,100,Kanfanar,2024-05-07 01:00:00,17
96,14.56,95,1014,overcast clouds,1715040000,2.08,94,Kanfanar,2024-05-07 02:00:00,17
97,14.56,95,1013,overcast clouds,1715043600,2.27,95,Kanfanar,2024-05-07 03:00:00,17
98,14.56,95,1013,overcast clouds,1715047200,2.35,100,Kanfanar,2024-05-07 04:00:00,17
99,14.56,95,1013,overcast clouds,1715050800,2.56,103,Kanfanar,2024-05-07 05:00:00,17
100,14.56,97,1013,overcast clouds,1715054400,2.46,113,Kanfanar,2024-05-07 06:00:00,17
101,14.56,95,1013,overcast clouds,1715058000,2.65,131,Kanfanar,2024-05-07 07:00:00,17
102,15.56,91,1013,overcast clouds,1715061600,2.64,143,Kanfanar,2024-05-07 08:00:00,17
103,15.56,93,1013,moderate rain,1715065200,2.16,146,Kanfanar,2024-05-07 09:00:00,17
104,16.56,90,1014,overcast clouds,1715068800,1.63,184,Kanfanar,2024-05-07 10:00:00,17
105,15.56,87,1014,moderate rain,1715072400,0.73,142,Kanfanar,2024-05-07 11:00:00,17
106,15.56,85,1014,moderate rain,1715076000,1.89,149,Kanfanar,2024-05-07 12:00:00,17
107,15.56,88,1014,light rain,1715079600,2.44,163,Kanfanar,2024-05-07 13:00:00,17
108,15.56,92,1014,overcast clouds,1715083200,1.63,160,Kanfanar,2024-05-07 14:00:00,17
109,15.56,89,1014,overcast clouds,1715086800,1.72,120,Kanfanar,2024-05-07 15:00:00,17
110,15.56,90,1014,overcast clouds,1715090400,2.38,118,Kanfanar,2024-05-07 16:00:00,17
111,15.56,86,1013,heavy intensity rain,1715094000,2.68,131,Kanfanar,2024-05-07 17:00:00,17
112,14.56,88,1014,light rain,1715097600,2.08,132,Kanfanar,2024-05-07 18:00:00,17
113,14.56,92,1014,overcast clouds,1715101200,1.33,121,Kanfanar,2024-05-07 19:00:00,17
114,13.56,94,1014,overcast clouds,1715104800,1.87,137,Kanfanar,2024-05-07 20:00:00,17
