country,env_foot_2022,env_co2_2022,env_water_2020,env_sdi_2019
Afghanistan,1.38,0.284,54.8,55.1
Angola,2.18,1.23,1.87,62.6
Albania,13.0,2.1,4.72,82.6
UAE,69.0,21.1,1590.0,11.0
Argentina,15.8,3.85,10.5,77.7
Armenia,5.95,2.7,57.1,82.7
Australia,46.8,13.9,3.47,15.0
Austria,24.6,9.2,9.64,25.2
Azerbaijan,10.6,3.84,55.6,79.6
Burundi,1.71,0.051,10.2,46.7
Belgium,33.5,16.9,51.6,42.9
Benin,3.4,0.71,0.975,58.7
Burkina Faso,2.96,0.306,7.82,48.7
Bangladesh,2.88,0.844,5.72,68.1
Bulgaria,15.0,5.82,37.5,74.4
Bahrain,23.8,16.0,134.0,48.8
Bosnia and Herzegovina,14.4,6.45,2.0,71.5
Belize,12.2,1.52,1.26,75.3
Bolivia,11.3,1.99,1.18,77.3
Brazil,18.9,2.11,1.48,75.4
Brunei,85.7,24.5,3.47,33.8
Bhutan,32.4,1.8,1.41,68.3
Botswana,14.2,5.1,2.31,33.5
Central African Republic,1.57,0.071,0.336,42.8
Canada,35.0,13.2,3.73,19.1
Switzerland,31.1,11.6,6.5,25.7
Chile,13.5,4.54,8.98,73.7
China,22.0,7.38,41.5,51.7
Cote d'Ivoire,3.26,0.596,5.09,58.0
Cameroon,2.13,0.408,1.56,60.7
"Congo, Dem. Rep.",2.75,0.026,0.227,51.7
"Congo, Rep.",1.88,0.674,0.0274,61.8
Colombia,9.09,2.39,4.36,80.1
Costa Rica,14.4,2.38,5.35,85.3
Cuba,9.19,2.55,23.9,81.4
Cyprus,36.6,5.62,37.6,33.8
Czech Republic,21.3,9.84,20.8,37.6
Germany,19.4,9.3,33.5,39.3
Djibouti,15.9,0.734,6.33,56.3
Denmark,25.9,7.68,26.4,35.5
Dominican Republic,9.54,3.11,39.6,80.2
Algeria,11.2,3.88,138.0,80.3
Ecuador,7.74,2.7,6.78,78.3
Egypt,8.22,2.4,141.0,75.5
Eritrea,3.47,0.234,11.2,
Spain,13.5,5.66,43.3,46.2
Estonia,37.5,10.4,9.23,20.1
Ethiopia,0.47,0.188,32.3,52.3
Finland,36.7,8.76,7.11,22.3
France,17.1,6.07,23.0,52.2
Gabon,9.15,2.76,0.502,75.7
UK,17.9,6.93,14.4,39.1
Georgia,10.3,3.77,5.39,83.9
Ghana,3.92,0.773,6.31,65.9
Guinea,4.77,0.472,1.37,51.4
Gambia,3.77,0.293,2.21,53.4
Greece,15.2,5.27,20.5,32.8
Guatemala,7.24,1.34,5.74,71.4
Honduras,6.06,0.876,4.62,68.3
Croatia,17.1,5.94,1.48,69.0
Haiti,2.4,0.272,13.4,54.9
Hungary,15.3,6.41,8.07,73.4
Indonesia,6.77,2.36,29.7,77.1
India,5.23,1.87,66.5,69.6
Ireland,49.3,8.59,21.6,42.4
Iran,13.2,7.67,81.3,61.2
Iraq,11.9,5.76,79.5,70.4
Iceland,59.6,9.99,0.394,23.2
Israel,30.8,8.6,110.0,41.9
Italy,11.8,6.92,29.6,52.5
Jamaica,9.95,2.43,12.5,75.6
Jordan,7.03,2.9,104.0,77.1
Japan,18.2,9.99,36.0,30.5
Kazakhstan,34.4,9.66,34.1,39.5
Kenya,4.62,0.562,33.2,64.7
Kyrgyz Republic,7.82,2.81,50.0,74.6
Cambodia,5.7,2.55,1.04,64.0
South Korea,22.0,13.5,85.2,27.4
Kuwait,65.3,24.0,3850.0,9.9
Lao,9.64,3.3,4.79,65.8
Lebanon,12.4,3.92,58.8,69.9
Liberia,2.71,0.354,0.264,51.7
Libya,16.1,8.84,817.0,75.7
Sri Lanka,4.36,1.76,90.8,84.3
Lithuania,40.1,7.21,1.83,29.1
Latvia,31.0,7.57,1.07,53.5
Morocco,6.95,2.0,50.8,73.9
Moldova,3.41,1.25,12.6,80.8
Madagascar,1.51,0.209,11.3,56.8
Mexico,10.8,3.64,44.8,78.0
North Macedonia,12.3,3.51,38.7,71.9
Mali,4.57,0.204,8.0,46.7
Malta,40.7,17.3,81.9,54.2
Myanmar,2.06,0.549,5.8,62.8
Mongolia,10.6,14.2,3.4,73.2
Mozambique,2.19,0.456,1.75,49.1
Mauritania,7.75,0.661,13.2,58.8
Malawi,1.71,0.139,17.5,52.1
Malaysia,19.6,7.5,3.44,46.6
Namibia,11.9,3.97,0.862,66.9
Niger,4.19,0.113,11.0,42.4
Nigeria,3.6,0.692,9.67,58.1
Nicaragua,5.4,0.944,2.22,71.1
Netherlands,32.3,8.77,16.8,29.9
Norway,38.8,8.72,2.05,19.7
Nepal,5.58,0.922,8.31,64.8
New Zealand,30.7,7.51,8.05,43.6
Oman,8.91,14.9,117.0,63.1
Pakistan,3.45,1.1,116.0,60.0
Panama,13.5,4.02,0.901,82.1
Peru,9.43,2.01,7.18,81.8
Philippines,8.77,1.61,26.3,77.3
Papua New Guinea,5.23,0.986,0.132,59.8
Poland,17.9,8.01,30.0,42.6
Portugal,12.3,4.6,12.3,62.4
Paraguay,18.9,2.0,1.84,75.9
Qatar,33.7,27.3,431.0,26.0
Romania,16.0,4.36,6.01,71.1
Russia,9.49,9.97,4.12,68.5
Rwanda,2.0,0.179,20.2,58.5
Saudi Arabia,30.0,18.4,974.0,45.6
Senegal,4.09,1.02,16.3,55.2
Singapore,50.4,25.4,83.1,7.9
Sierra Leone,2.12,0.154,0.496,48.6
El Salvador,5.87,1.47,2.43,72.4
Serbia,15.7,5.11,6.0,38.2
Slovak Republic,19.1,7.37,2.39,23.0
Slovenia,25.4,8.46,6.78,42.5
Sweden,26.7,5.96,3.58,32.5
Syria,1.91,1.85,124.0,60.7
Chad,8.26,0.072,4.29,42.8
Togo,4.14,0.906,3.39,55.5
Thailand,11.8,3.92,23.0,73.7
Tajikistan,5.75,1.47,69.9,71.9
Turkmenistan,13.1,15.5,135.0,25.5
Tunisia,9.17,2.26,98.1,78.6
Turkey,17.5,4.95,45.7,67.5
Tanzania,1.58,0.311,13.0,56.9
Uganda,1.92,0.183,5.83,58.6
Ukraine,11.9,4.35,12.3,75.8
Uruguay,17.5,3.21,9.79,52.9
USA,29.6,16.4,28.2,18.1
Uzbekistan,6.12,2.8,169.0,76.1
Venezuela,9.6,0.673,7.54,71.2
Vietnam,8.52,2.17,18.1,72.9
Yemen,2.89,0.395,170.0,50.6
South Africa,7.55,5.18,65.0,69.0
Zambia,2.38,0.424,2.84,62.9
Zimbabwe,1.21,0.804,35.4,61.5
