country,soc_gini_2020,soc_progress_2021,soc_happiness_2022,soc_hdi_2021,soc_gini_2020_n,soc_progress_2021_n,soc_happiness_2022_n,soc_hdi_2021_n
Afghanistan,38.3,13.2,18.6,0.478,66.23711340206185,0.0,0.0,16.117850953206236
Angola,52.1,16.0,,0.586,30.670103092783506,3.5532994923857877,,34.83535528596187
Albania,33.8,45.9,52.8,0.796,77.83505154639175,41.497461928934015,57.57575757575757,71.23050259965339
UAE,26.0,65.0,65.7,0.911,97.9381443298969,65.73604060913706,79.2929292929293,91.16117850953208
Argentina,43.6,53.1,60.2,0.842,52.57731958762886,50.63451776649747,70.03367003367003,79.20277296360486
Armenia,30.5,46.3,53.4,0.759,86.34020618556701,42.005076142131976,58.58585858585858,64.81802426343154
Australia,34.4,87.0,71.0,0.951,76.28865979381443,93.65482233502539,88.21548821548822,98.09358752166378
Austria,31.4,88.8,71.0,0.916,84.02061855670104,95.93908629441624,88.21548821548822,92.02772963604853
Azerbaijan,27.6,43.0,,0.745,93.81443298969072,37.81725888324873,,62.39168110918545
Burundi,40.2,32.5,,0.426,61.340206185567,24.492385786802032,,7.1057192374350056
Belgium,27.9,89.7,68.6,0.937,93.04123711340206,97.08121827411168,84.17508417508417,95.6672443674177
Benin,48.8,30.7,43.7,0.525,39.17525773195876,22.20812182741117,42.255892255892256,24.26343154246101
Burkina Faso,35.8,28.9,46.4,0.449,72.68041237113403,19.923857868020306,46.801346801346796,11.091854419410746
Bangladesh,33.0,38.8,42.8,0.661,79.89690721649484,32.48730964467005,40.74074074074073,47.83362218370885
Bulgaria,41.9,48.0,54.7,0.795,56.95876288659794,44.16243654822335,60.774410774410775,71.0571923743501
Bahrain,35.6,50.3,61.7,0.875,73.19587628865979,47.08121827411167,72.55892255892256,84.92201039861352
Bosnia and Herzegovina,33.1,44.6,56.3,0.78,79.63917525773195,39.84771573604061,63.46801346801346,68.4575389948007
Belarus,25.9,32.1,,0.808,98.19587628865979,23.984771573604064,,73.31022530329291
Belize,53.0,41.3,,0.683,28.350515463917517,35.65989847715736,,51.64644714038129
Bolivia,42.3,45.1,56.8,0.692,55.927835051546396,40.48223350253807,64.3097643097643,53.20623916811091
Brazil,54.6,55.1,61.3,0.754,24.226804123711332,53.17258883248732,71.88552188552188,63.951473136915084
Bhutan,37.3,51.0,,0.666,68.81443298969073,47.96954314720812,,48.70017331022531
Botswana,53.3,34.2,34.4,0.693,27.577319587628864,26.649746192893407,26.599326599326595,53.3795493934142
Central African Republic,57.9,17.4,,0.404,15.721649484536059,5.3299492385786795,,3.2928942807625683
Canada,34.0,83.6,69.6,0.936,77.31958762886597,89.34010152284263,85.85858585858584,95.4939341421144
Switzerland,33.7,90.3,72.4,0.962,78.09278350515463,97.84263959390861,90.57239057239057,100.0
Chile,45.1,49.2,63.3,0.855,48.71134020618556,45.68527918781726,75.25252525252526,81.45580589254767
China,39.1,68.3,58.2,0.768,64.17525773195875,69.92385786802029,66.66666666666667,66.37781629116118
Cote d'Ivoire,42.2,31.4,50.5,0.55,56.18556701030926,23.096446700507617,53.7037037037037,28.596187175043337
Cameroon,47.4,22.1,49.7,0.576,42.78350515463917,11.294416243654826,52.35690235690236,33.102253032928935
"Congo, Dem. Rep.",43.3,27.8,32.1,0.479,53.35051546391753,18.52791878172589,22.727272727272727,16.291161178509526
"Congo, Rep.",49.7,28.1,52.7,0.571,36.85567010309277,18.90862944162437,57.40740740740741,32.23570190641247
Colombia,52.0,44.2,56.3,0.752,30.92783505154638,39.340101522842644,63.46801346801346,63.604852686308504
Comoros,45.1,40.8,35.5,0.558,48.71134020618556,35.0253807106599,28.45117845117845,29.98266897746968
Costa Rica,48.8,48.4,66.1,0.809,39.17525773195876,44.67005076142133,79.96632996632995,73.4835355285962
Cuba,43.4,51.0,,0.764,53.092783505154635,47.96954314720812,,65.68457538994801
Cyprus,32.7,54.7,61.3,0.896,80.67010309278349,52.66497461928934,71.88552188552188,88.56152512998268
Czech Republic,25.7,70.6,68.5,0.889,98.71134020618557,72.84263959390861,84.006734006734,87.34835355285962
Germany,32.6,88.1,68.9,0.942,80.92783505154638,95.05076142131979,84.68013468013469,96.53379549393414
Djibouti,41.6,26.1,,0.509,57.73195876288659,16.37055837563452,,21.490467937608322
Denmark,28.8,89.0,75.9,0.948,90.72164948453607,96.19289340101523,96.46464646464646,97.5736568457539
Dominican Republic,42.5,43.7,55.7,0.767,55.41237113402062,38.705583756345185,62.45791245791246,66.2045060658579
Algeria,27.9,40.4,53.3,0.745,93.04123711340206,34.51776649746193,58.41750841750841,62.39168110918545
Ecuador,46.4,30.9,55.6,0.74,45.360824742268036,22.461928934010153,62.28956228956229,61.52512998266898
Egypt,32.1,42.7,41.7,0.731,82.21649484536081,37.43654822335026,38.88888888888889,59.965337954939336
Spain,35.5,86.4,64.4,0.905,73.45360824742268,92.89340101522843,77.10437710437711,90.12131715771231
Estonia,30.3,54.5,64.5,0.89,86.85567010309278,52.411167512690355,77.27272727272728,87.52166377816292
Ethiopia,36.2,24.1,40.9,0.498,71.64948453608247,13.832487309644673,37.542087542087536,19.584055459272097
Finland,27.3,82.8,78.0,0.94,94.58762886597938,88.3248730964467,100.0,96.18717504332756
France,33.2,90.1,66.6,0.903,79.38144329896906,97.58883248730963,80.80808080808079,89.77469670710573
Gabon,37.9,38.3,50.4,0.706,67.26804123711341,31.85279187817259,53.53535353535353,55.63258232235702
UK,36.8,87.3,68.0,0.929,70.10309278350516,94.03553299492386,83.16498316498317,94.28076256499135
Georgia,36.5,54.3,51.1,0.802,70.87628865979381,52.157360406091364,54.71380471380471,72.27036395147314
Ghana,43.5,37.2,46.0,0.632,52.835051546391746,30.45685279187818,46.12794612794613,42.80762564991335
Guinea,34.1,41.1,50.7,0.465,77.06185567010309,35.40609137055838,54.04040404040404,13.864818024263435
Gambia,35.0,24.5,42.8,0.5,74.74226804123711,14.340101522842641,40.74074074074073,19.930675909878683
Greece,33.5,68.4,59.3,0.887,78.6082474226804,70.0507614213198,68.51851851851852,87.00173310225304
Guatemala,48.7,34.3,61.5,0.627,39.432989690721634,26.776649746192895,72.22222222222223,41.941074523396885
Guyana,45.2,45.4,,0.714,48.453608247422665,40.862944162436555,,57.01906412478336
Honduras,48.8,27.4,60.2,0.621,39.17525773195876,18.02030456852792,70.03367003367003,40.90121317157712
Croatia,30.3,64.4,61.3,0.858,86.85567010309278,64.9746192893401,71.88552188552188,81.97573656845753
Haiti,61.3,22.0,,0.535,6.958762886597938,11.167512690355332,,25.99653379549394
Hungary,30.2,81.4,60.4,0.846,87.11340206185567,86.5482233502538,70.37037037037037,79.89601386481802
Indonesia,38.9,44.3,52.8,0.705,64.69072164948453,39.46700507614214,57.57575757575757,55.45927209705373
India,36.9,46.5,40.4,0.633,69.84536082474227,42.25888324873096,36.70033670033669,42.980935875216645
Ireland,32.0,82.3,69.1,0.945,82.4742268041237,87.69035532994923,85.016835016835,97.05372616984401
Iran,42.8,43.4,48.8,0.774,54.639175257731964,38.3248730964467,50.84175084175084,67.41767764298093
Iraq,30.2,28.9,49.4,0.686,87.11340206185567,19.923857868020306,51.85185185185185,52.166377816291174
Iceland,26.1,87.0,75.3,0.959,97.68041237113401,93.65482233502539,95.45454545454545,99.48006932409012
Israel,39.0,57.4,74.7,0.919,64.43298969072166,56.09137055837564,94.44444444444444,92.54766031195842
Italy,36.7,89.9,64.0,0.895,70.36082474226802,97.33502538071066,76.43097643097643,88.38821490467939
Jamaica,45.3,46.2,57.0,0.709,48.1958762886598,41.87817258883249,64.64646464646465,56.1525129982669
Jordan,34.7,42.6,41.2,0.72,75.51546391752576,37.309644670050766,38.04713804713805,58.05892547660312
Japan,33.5,89.6,61.3,0.925,78.6082474226804,96.95431472081218,71.88552188552188,93.58752166377818
Kazakhstan,28.4,29.4,61.4,0.811,91.75257731958763,20.558375634517766,72.05387205387206,73.83015597920279
Kenya,41.2,28.7,44.9,0.575,58.76288659793813,19.670050761421322,44.27609427609427,32.92894280762564
Kyrgyz Republic,30.3,34.5,58.3,0.692,86.85567010309278,27.03045685279188,66.83501683501683,53.20623916811091
Cambodia,40.2,31.7,43.9,0.593,61.340206185567,23.477157360406093,42.59259259259259,36.048526863084916
South Korea,31.4,77.5,59.5,0.925,84.02061855670104,81.59898477157361,68.85521885521885,93.58752166377818
Kuwait,35.4,43.0,,0.831,73.71134020618557,37.81725888324873,,77.29636048526862
Lao,38.8,19.2,51.1,0.607,64.94845360824743,7.614213197969543,54.71380471380471,38.47487001733102
Lebanon,32.4,33.4,23.9,0.706,81.44329896907217,25.634517766497463,8.922558922558919,55.63258232235702
Liberia,36.0,35.3,40.4,0.481,72.16494845360825,28.04568527918782,36.70033670033669,16.637781629116116
Libya,38.3,32.0,,0.718,66.23711340206185,23.85786802030457,,57.712305025996535
Sri Lanka,39.4,44.1,44.4,0.782,63.4020618556701,39.213197969543145,43.434343434343425,68.8041594454073
Lesotho,45.6,32.0,,0.514,47.42268041237112,23.85786802030457,,22.357019064124785
Lithuania,36.3,50.7,67.6,0.875,71.3917525773196,47.588832487309645,82.49158249158248,84.92201039861352
Luxembourg,35.4,83.9,72.3,0.93,73.71134020618557,89.72081218274111,90.4040404040404,94.45407279029465
Latvia,35.1,56.7,62.1,0.863,74.48453608247422,55.20304568527919,73.23232323232324,82.842287694974
Morocco,40.0,46.7,49.0,0.683,61.855670103092784,42.51269035532995,51.178451178451176,51.64644714038129
Moldova,26.3,43.7,58.2,0.767,97.16494845360825,38.705583756345185,66.66666666666667,66.2045060658579
Madagascar,44.0,38.6,40.2,0.501,51.546391752577314,32.233502538071065,36.36363636363637,20.103986135181977
Maldives,31.3,36.1,,0.747,84.27835051546391,29.060913705583758,,62.73830155979203
Mexico,46.6,58.1,63.3,0.758,44.845360824742265,56.979695431472095,75.25252525252526,64.64471403812824
North Macedonia,33.6,48.0,52.5,0.77,78.35051546391752,44.16243654822335,57.07070707070707,66.72443674176778
Mali,32.9,29.1,42.0,0.428,80.15463917525773,20.177664974619294,39.3939393939394,7.452339688041592
Malta,28.7,65.1,63.0,0.918,90.97938144329896,65.86294416243653,74.74747474747475,92.37435008665513
Myanmar,31.3,34.2,43.7,0.585,84.27835051546391,26.649746192893407,42.255892255892256,34.66204506065858
Montenegro,37.0,45.0,57.2,0.832,69.58762886597938,40.35532994923858,64.98316498316498,77.46967071057192
Mongolia,32.7,39.4,58.4,0.739,80.67010309278349,33.24873096446701,67.003367003367,61.35181975736569
Mozambique,55.6,30.0,49.5,0.446,21.64948453608247,21.31979695431472,52.02020202020202,10.571923743500866
Mauritania,32.5,32.1,47.2,0.556,81.18556701030927,23.984771573604064,48.14814814814815,29.636048526863096
Mauritius,36.8,45.7,59.0,0.802,70.10309278350516,41.243654822335024,68.01346801346801,72.27036395147314
Malawi,45.5,23.2,35.0,0.512,47.68041237113402,12.69035532994924,27.609427609427605,22.0103986135182
Malaysia,41.0,50.4,60.1,0.803,59.27835051546391,47.208121827411176,69.86531986531986,72.44367417677644
Namibia,58.9,22.9,46.3,0.615,13.144329896907195,12.30964467005076,46.63299663299663,39.86135181975737
Niger,35.2,23.5,45.0,0.4,74.22680412371133,13.071065989847716,44.44444444444444,2.599653379549396
Nigeria,35.8,35.9,49.8,0.535,72.68041237113403,28.807106598984774,52.52525252525252,25.99653379549394
Nicaragua,46.3,21.0,62.6,0.667,45.618556701030926,9.898477157360407,74.07407407407408,48.87348353552861
Netherlands,28.8,86.3,74.0,0.941,90.72164948453607,92.76649746192892,93.26599326599327,96.36048526863085
Norway,27.6,87.2,73.2,0.961,93.81443298969072,93.90862944162437,91.91919191919192,99.8266897746967
Nepal,32.5,34.6,53.6,0.602,81.18556701030927,27.15736040609137,58.92255892255893,37.60831889081455
New Zealand,35.2,90.0,71.2,0.937,74.22680412371133,97.46192893401016,88.55218855218855,95.6672443674177
Oman,37.2,44.2,,0.816,69.07216494845359,39.340101522842644,,74.69670710571923
Pakistan,32.3,37.0,45.5,0.544,81.70103092783506,30.20304568527919,45.28619528619529,27.556325823223577
Panama,50.4,44.7,62.6,0.805,35.05154639175257,39.97461928934011,74.07407407407408,72.79029462738303
Peru,42.3,46.4,55.3,0.762,55.927835051546396,42.13197969543148,61.78451178451178,65.33795493934143
Philippines,42.9,44.1,55.2,0.699,54.38144329896907,39.213197969543145,61.61616161616162,54.41941074523396
Poland,30.9,71.2,62.6,0.876,85.30927835051547,73.60406091370558,74.07407407407408,85.09532062391682
Portugal,34.1,69.2,59.7,0.866,77.06185567010309,71.06598984771574,69.1919191919192,83.3622183708839
Paraguay,46.3,44.9,57.4,0.717,45.618556701030926,40.22842639593909,65.31986531986531,57.53899480069324
Palestine,34.2,38.4,49.1,0.715,76.8041237113402,31.97969543147208,51.34680134680135,57.192374350086645
Qatar,34.2,63.7,,0.855,76.8041237113402,64.08629441624366,,81.45580589254767
Romania,36.5,63.9,65.9,0.821,70.87628865979381,64.34010152284264,79.62962962962963,75.5632582322357
Russia,38.3,74.0,56.6,0.822,66.23711340206185,77.15736040609137,63.97306397306397,75.736568457539
Rwanda,44.4,30.0,,0.534,50.51546391752577,21.31979695431472,,25.823223570190645
Saudi Arabia,36.1,60.1,64.6,0.875,71.90721649484536,59.51776649746194,77.44107744107743,84.92201039861352
Sudan,34.8,31.0,,0.508,75.25773195876289,22.588832487309645,,21.31715771230503
Senegal,41.1,18.8,48.5,0.511,59.020618556701024,7.106598984771575,50.33670033670034,21.837088388214905
Singapore,40.9,72.7,65.9,0.939,59.5360824742268,75.50761421319797,79.62962962962963,96.01386481802426
Sierra Leone,36.4,32.6,31.4,0.477,71.1340206185567,24.619289340101528,21.548821548821547,15.944540727902943
El Salvador,39.4,38.4,61.2,0.675,63.4020618556701,31.97969543147208,71.71717171717172,50.25996533795495
Serbia,30.9,50.1,61.4,0.802,85.30927835051547,46.8274111675127,72.05387205387206,72.27036395147314
South Sudan,45.3,22.1,,0.385,48.1958762886598,11.294416243654826,,0.0
Suriname,61.0,40.1,,0.73,7.731958762886606,34.13705583756345,,59.792027729636054
Slovak Republic,25.6,63.4,64.7,0.848,98.96907216494844,63.70558375634518,77.60942760942761,80.24263431542461
Slovenia,25.2,59.6,66.5,0.918,100.0,58.88324873096448,80.63973063973064,92.37435008665513
Sweden,30.6,92.0,74.0,0.947,86.08247422680412,100.0,93.26599326599327,97.4003466204506
Eswatini,55.3,56.9,,0.597,22.422680412371122,55.45685279187818,,36.74176776429809
Syria,38.0,16.6,,0.577,67.01030927835052,4.3147208121827445,,33.27556325823223
Chad,44.1,28.9,44.0,0.394,51.288659793814425,19.923857868020306,42.76094276094276,1.5597920277296375
Togo,43.7,33.8,41.4,0.539,52.31958762886597,26.14213197969543,38.38383838383838,26.68977469670711
Thailand,34.9,57.9,58.4,0.8,75.0,56.7258883248731,67.003367003367,71.92374350086655
Tajikistan,34.1,29.2,53.3,0.685,77.06185567010309,20.304568527918782,58.41750841750841,51.99306759098788
Turkmenistan,44.7,35.4,,0.745,49.7422680412371,28.17258883248731,,62.39168110918545
Trinidad and Tobago,41.1,34.6,,0.81,59.020618556701024,27.15736040609137,,73.6568457538995
Tunisia,33.4,47.6,45.0,0.731,78.8659793814433,43.654822335025386,44.44444444444444,59.965337954939336
Turkey,42.6,54.7,46.1,0.838,55.15463917525772,52.66497461928934,46.2962962962963,78.50953206239168
Tanzania,41.2,27.3,36.9,0.549,58.76288659793813,17.89340101522843,30.808080808080806,28.42287694974004
Uganda,43.8,30.3,44.3,0.525,52.06185567010309,21.7005076142132,43.26599326599326,24.26343154246101
Ukraine,27.3,62.8,50.7,0.773,94.58762886597938,62.94416243654821,54.04040404040404,67.24436741767765
Uruguay,39.7,48.5,64.9,0.809,62.62886597938143,44.79695431472081,77.94612794612794,73.4835355285962
USA,42.6,79.7,68.9,0.921,55.15463917525772,84.39086294416244,84.68013468013469,92.894280762565
Uzbekistan,35.0,34.6,60.1,0.727,74.74226804123711,27.15736040609137,69.86531986531986,59.27209705372616
Venezuela,44.3,28.7,52.1,0.691,50.77319587628866,19.670050761421322,56.3973063973064,53.03292894280762
Vietnam,35.7,33.7,57.6,0.703,72.93814432989689,26.015228426395947,65.65656565656566,55.112651646447134
Yemen,37.5,34.7,,0.455,68.29896907216495,27.28426395939087,,12.131715771230505
South Africa,64.0,31.8,52.8,0.713,0.0,23.604060913705588,57.57575757575757,56.845753899480066
Zambia,57.9,22.9,39.8,0.565,15.721649484536059,12.30964467005076,35.69023569023568,31.19584055459271
Zimbabwe,51.0,16.3,32.0,0.593,33.50515463917526,3.9340101522842654,22.558922558922557,36.048526863084916
